0000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000 0.001025 1
0001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000 0.006981 2
0001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000 0.018949 3
0001000000000000000000000000100000000000000111000000000000000000000000000000000000000000000000010000 0.026928 6
0001000000000000001001100000100000000000000111000000000000000000000000000000000000000000000000010000 0.038896 9
0001000000000000001001100000100000000000000111000000000000000000000000000000001011000000000000010000 0.045878 12
0001000000000000001001100000100000000000000111000000000000000000000000000010101011000000000000010000 0.058878 14
0001000000000000001001100000100000000000000111000000000000000000000000001011101011000000000000010000 0.069851 16
0001000000000000001001100000100000000000000111000000000000000000000000001011101011000000000000001100 0.075863 17
0001000000000011010001100000100000000000000111000000000000000000000000001011101011000000000000001100 0.085809 19
0001001100100011010001100000100000000000000111000000000000000000000000001011101011000000000000001100 0.091792 22
0001001100100011010001100000100000000000000111000000011010000000000000001011101011000000000000001100 0.102275 25
0101001100100011010001100000100000000000000111000000011010000000000000001011101011000000000000001101 0.108281 27
0101001100100011010001100000100000000000000111000000011010000000000000001011101010101000000000001101 0.11923 28
0101001100100011010001100000100000000000000111100000011010000000000000001011101010101000000000001101 0.125212 29
0101001100100011010001100000100000000000000111100000011010000000000000001011101010111110000000001101 0.137183 32
0101001100100011010001100000100000000110100111100000011010000000000000001011101010111110000000001101 0.142188 35
0101001100100011010001100000100000000110100111100010111010000000000000001011101010111110000000001101 0.15314 37
0101001100100011010001100000100000000110100111100010111010000001101100001011101010111110000000001101 0.159158 41
0101001100100011010001101001100000000110100111100010111010000001101100001011101010111110000000001101 0.164111 43
0101001100100011010001101001100000000110100111100010111010000001101100001011101110111110000000001101 0.170095 44
0101001100100011010001101001111110000110100111100010111010000001101100001011101110111110000000001101 0.176077 48
0101001100100011010001101001111110000110100111100010111010000001101100001011101110111110000010111101 0.186052 51
0101001100100011010001101001111110000110100111100010111010000001101100001011101110111110000110111101 0.191056 52
0101001100100011010001101001111110000110100111100010111010000101101100001011101110111110000110111101 0.203007 53
0101001100100011010001101001111111010110100111100010111010000101101100001011101110111110000110111101 0.208015 55
0101001100100011010001011101111111010110100111100010111010000101101100001011101110111110000110111101 0.213977 56
0101001100100011010001011101111111010110100111101101011010000101101100001011101110111110000110111101 0.226941 57
0101001100100011010001011111111111010110100111101101011010000101101100001011101110111110000110111101 0.237912 58
0101001100100011010001011111111111010110100111101101011010000101101100001011111110111110000110111101 0.242926 59
0101001100100011110001011111111111010110100111101101011010000101101100001011111110111110000110111101 0.252872 60
0101001100100011110001011111111111010110100111101101011010000101101100101011111110111110000110111101 0.25888 61
0101001100100011110001011111111111010110100111101101011010000101101101111011111110111110000110111101 0.269828 63
0101001100100011110001011111111111010110100111101101011010011101101101111011111110111110000110111101 0.275834 65
0101001100100011110001011111111111010110100111101101011010011101101101111011111110111100110110111101 0.286782 66
0101001100100011111001011111111111010110100111101101011010011101101101111011111110111100110110111101 0.292765 67
0101001100100011111001011111111111010110100111101101011110011101101101111011111110111100110110111101 0.303737 68
1001001100100011111001011111111111010110100111101101011110011101101101111011111110111100110110111111 0.308741 69
1001001100100011111001011111111111010110100111111011011110011101101101111011111110111100110110111111 0.319695 70
1001001100100011111001011111111111010110100111111011011111110101101101111011111110111100110110111111 0.325925 71
1001100110100011111001011111111111010110100111111011011111110101101101111011111110111100110110111111 0.336896 72
1001100110100011111001011111111111010110100111111011011111101111101101111011111110111100110110111111 0.34288 73
0111100110100011111001011111111111010110100111111011011111101111101101111011111110111100110110111111 0.35385 74
0111100110111011111001011111111111010110100111111011011111101111101101111011111110111100110110111111 0.359834 76
0111100110111011111001011111111111010110101111111011011111101111101101111011111110111100110110111111 0.369809 77
0111111010111011111001011111111111010110101111111011011111101111101101111011111110111100110110111111 0.375792 78
0111111010111011111001011111111111010110101111111011111111101111101101111011111110111100110110111111 0.386763 79
0111111010111011111001011111111111110110101111111011111111101111101101111011111110111100110110111111 0.392747 80
0111111010111011111001011111111111110110101111111011111111101111101101111111111110111100110110111111 0.403718 81
0111111010111011111111001111111111110110101111111011111111101111101101111111111110111100110110111111 0.409517 82
0111111010111011111111001111111111110110101111111011111111101111101101111111111110111111100110111111 0.419467 83
0111111010111011111111001111111111110111101111111011111111101111101101111111111110111111100110111111 0.425474 84
0111111010111011111111001111111111110111101111111111111111101111101101111111111110111111100110111111 0.430437 85
0111111010111011111111001111111111110111101111111111111111101111111111111111111110111111100110111111 0.438415 87
0111111010111011111111110111111111110111101111111111111111101111111111111111111110111111100110111111 0.4444 88
0111111010111011111111110111111111110111111111111111111111101111111111111111111110111111100110111111 0.456368 89
0111111010111011111111110111111111110111111111111111111111101111111111111111111110111111111110111111 0.46237 91
0111110111111011111111110111111111110111111111111111111111101111111111111111111110111111111110111111 0.471328 92
0111111111111011111111110111111111110111111111111111111111101111111111111111111110111111111110111111 0.480304 93
0111111111111011111111110111111111111111111111111111111111101111111111111111111110111111111110111111 0.488283 94
0111111111111011111111110111111111111111111111111111111111101111111111111111111110111111111111111111 0.494266 95
0111111111111011111111110111111111111111111111111111111111101111111111111111111111111111111111111111 0.506263 96
0111111111111111111111110111111111111111111111111111111111101111111111111111111111111111111111111111 0.51222 97
0111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111 0.525184 98
0111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 0.533187 99
1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 0.545151 100
