001000000000000100000000 3744166 1
001000010000000000100000 4799112 2
001000010000000000101000 5700601 3
011000000010000000101000 7926145 4
011000010010000000101000 9222602 5
011000011011000000101000 11951584 6
011100011010000000101000 12426265 8
011100011000010000101100 12478352 22
011100011000010000111100 12544083 34
111000111000010010111100 12590740 72
110000111010010010111100 12759104 115
110001111010010010111100 12856530 134
110101111010000010101100 12994933 141
110101111010000110001100 13236444 255
110111111010000110000100 13278927 676
110111111010000110010100 13344658 713
110111101010010110010100 13368037 1154
110101101010011110010100 13377342 1512
110101101010001111010110 13377418 2862
110101101110000110010110 13473482 3787
110101101110100100010010 13473708 10067
110101001110100100010100 13515028 10204
110101101110100100000100 13518963 10694
110111100110100110010100 13524340 70795
110111000110100100000111 13549094 4979299
