0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100111001101011111011011110110011101000011000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 1 0.000998 28
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100111001101011111011011110110011101000011000101100110111100001110000001010010110000010001000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 2 0.079821 47
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100111001101011111011011110110011101000011000101100110111100001110000001010010110000010001000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010001000110110010001010111101010111000110111010000000000000 3 0.163525 72
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000110110011111011001010101011001101011101000100000000000000000000100111001101011111011011110110011101000011000101100110111100001110000001010010110000010001000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010001000110110010001010111101010111000110111010000000000000 4 0.227588 99
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000110110011111011001010101011001101011101000100000000000000000000100111001101011111011011110110011101000011000101100110111100001110000000101111011011000001011010000111000110110110001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010001000110110010001010111101010111000110111010000000000000 5 0.295934 114
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000101111110001100001010001101010111100110111101000110110011111011001010101011001101011101000100000000000000000000100111001101011111011011110110011101000011000101100110111100001110000000101111011011000001011010000111000110110110001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010001000110110010001010111101010111000110111010000000000000 6 0.357743 140
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000101111110001100001010001101010111100110111101000110110011111011001010101011001101011101000100000000000000000000100111001101011111011011110110011101000011000101100110111100001110000000101111011011000001011010000111000110110110001001000000000000000000000000000000000000000000000000000000000000000000000000000000011010111111011100111001111001110111110001001000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010001000110110010001010111101010111000110111010000000000000 7 0.41717 171
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110001001010000010110111001101100000011101101010111100110111101000110110011111011001010101011001101011101000100000000000000000000100111001101011111011011110110011101000011000101100110111100001110000000101111011011000001011010000111000110110110001001000000000000000000000000000000000000000000000000000000000000000000000000000000011010111111011100111001111001110111110001001000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010001000110110010001010111101010111000110111010000000000000 8 0.492008 180
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111101101110100100111100101001010000101000110111101111110001001010000010110111001101100000011101101010111100110111101000110110011111011001010101011001101011101000100000000000000000000100111001101011111011011110110011101000011000101100110111100001110000000101111011011000001011010000111000110110110001001000000000000000000000000000000000000000000000000000000000000000000000000000000011010111111011100111001111001110111110001001000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010001000110110010001010111101010111000110111010000000000000 9 0.580655 207
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111101101110100100111100101001010000101000110111101111110001001010000010110111001101100000011101101010111100110111101000110110011111011001010101011001101011101000100000000000000000000100111001101011111011011110110011101000011000101100110111100001110000000101111011011000001011010000111000110110110001001000000000000000000000000000000000000000000000000000000000000000000000000000000011010111111011100110110101000101110011100000001011110111100111101011000000000000000000000000000000000000000000000000000000000000000000000010010001000110110010001010111101010111000110111010000000000000 10 0.633747 217
