000011000000000000000010 1507655 1
000011001000000000100011 5382636 3
000011001000000010100111 6635246 4
000011001010000011100111 9333893 5
010010010010100010100011 10352178 8
000110010010101000110011 10542780 10
000011111010111000011001 10794636 18
001111111010101000011001 12675398 19
010100110010011101000111 13019161 76
100000101100110111110100 13116182 159
110110110110100001010101 13203382 1558
110010111010010110000011 13235642 3733
010001101110100101001101 13293804 3930
110011100111010101010100 13294947 5120
100100001110000110110101 13358412 5857
100110101110000110001101 13381781 35948
110101101010000110110110 13396513 43318
100101101110000110110011 13414518 85830
010000001110100111010111 13432578 90954
110100100110001111000110 13437564 180230
100111001110001110000101 13461329 231169
110110100110001110010101 13496616 237523
110110000110100100010111 13517399 1876146
110111000110100100000111 13549094 2864689
